"You know what I mean, brother. Just stay away from them two, 'less the thought of bein' on Bishop's list is somethin'
 you like.","Ya sabes a lo que me refiero, hermana. Simplemente no te acerques a ninguna de las dos, a menos que la idea de formar parte de la lista de Bishop sea algo que
 te apetezca."
"Whoa, now, brother, here's some free advice: don't you go be looking to meet Myron, 'cause the Mordinos catch wind of THAT, they'll gut you and let
 you die on Golgotha.","Oye, de verdad, hermana, te doy un consejo gratis: no busques encontrarte con Myron, porque si los Mordino se enteran de ESO, te destriparán y te dejarán
 morir en el Gólgota."
"I hear you, brother, I hear you. You want the best, you go see my man Eldridge on the West End. He got shit that'll kill
 people you ain't even MET yet. Tell him I sent you.","Te entiendo, hermana, te entiendo. Si quieres lo mejor, ve a ver a mi colega Eldridge, en la zona Oeste. Tiene material que mataría
 a personas con las que AÚN no te has topado. Dile que yo te he enviado."
"I hear you, sister. Most TOURISTS, see, they stride down Virgin street and get suckered by some glitterboy.
 You look like you got class, so head over to the Cat's Paw 'cross the street there. Tell 'em Jules sent you.","Te entiendo, hermana. La mayoría de TURISTAS, ya sabes, se patean la calle Virgin y consiguen un trabajillo oral de cualquier puto de tres al cuarto.
 Tú pareces tener clase, así que vete a La Garra de la Gata, cruzando esa calle de ahí. Diles que Jules te envía."
"Yes, I'm SURE I parked it here. Any idea where it might be?","Sí, estoy SEGURA de que lo aparqué aquí. ¿Alguna idea de dónde podría estar?"
"Sister, I don't know NOTHING about your car. ","Hermana, no sé NADA sobre tu coche. "
"Brother, I don't know NOTHING about your car. ","Hermana, no sé NADA sobre tu coche. "
"All right, brother, all right! ","¡Está bien, hermana, está bien! "
"All right, sister, all right! ","¡Está bien, hermana, está bien! "
"Well, friend, I'd be careful about just walkin' in and accusing Lil' Jesus of anything. But if you REALLY want to
 talk with him, I ain't gonna stop you. He hangs out at the Desperado 'cross the street there.","Bueno, amiga, yo tendría cuidado de ir por ahí acusando a Pequeño Jesús de nada. Pero si REALMENTE quieres
 hablar con él, no voy a detenerte. Pasa el tiempo en el Desperado, al lado de esta calle."
"Chris Avellone designed me, Tom French scripted me, so technically, I'm not responsible for
 my Jet addiction.","Chris Avellone me diseñó y Tom French me programó, así que, técnicamente, no soy responsable de
 mi adicción al Jet."
"Man, I wish I coulda seen that exploshun while I was high. Musta been somethin', huh?","Amiga, ojalá hubiera visto esa explosión cuando estaba colocado. Habría sido la leche, ¿eh?"
I LOVE you! You are a HERO. A GODDAMN HERO. I COULD HUG YOU TO DEATH.,¡Te QUIERO! Eres una HEROÍNA. UNA MALDITA HEROÍNA. TE ABRAZARÍA HASTA MATARTE.
"I'll be your slave, if you can give me some Jet.","Seré tu esclavo, si puedes conseguirme algo de Jet."
You can sell me into slavery if you give me some Jet.,Puedes venderme como esclavo si me das algo de Jet.
You th'fighter? You got some chips I ken borrow?,¿Eres la luchadora? ¿Me puedes prestar algunas fichas?
"Ken I borrow some cash? Look, I'll pay ya back.","¿Puedes prestarme algo de dinero? Oye, te lo devolveré."
"Man, I need to *fly,* know what I'm saying?","Amiga, necesito *volar,* ¿sabes a lo que me refiero?"
"Hey, brother? Can you help me fly?","¿Hola, hermana? ¿Puedes ayudarme a volar?"
"You need someone to get high with, man?","¿Necesitas a alguien con quien colocarte, amiga?"
Psssst. Can you set up with some Jet?,Psssst. ¿Puedes proporcionarme algo de Jet?
"C'mon, friend, gimme just a few chips.","Vamos, amiga, dame sólo unas pocas fichas."
"I'll sleep with you for some Jet or a few chips. I'm clean, I promise.","Me acostaré contigo a cambio de algo de Jet o unas pocas fichas. Y soy limpio, lo prometo."
"C'mon, boy, gimme just a few chips.","Vamos, chica, dame sólo unas pocas fichas."
"Man, you must be HOT in that thing.","Amiga, se debe pasar CALOR en esa cosa."
"Man, are YOU in the wrong game. Try one of the battle mech PC games.","Amiga, estás en el juego equivocado. Prueba en uno de BattleMech."
"Hey, champ, wazzup?!","Hey, campeona, ¿cómo lo llevas?"
"You messin' with me, champ? I'm a Jet-pumped powerhouse! I'll kick your ASS!","¿Intentas tocarme las narices, campeona? ¡Soy un poderoso chorro de Jet! ¡Te patearé el CULO!"
Ho! Made Man comin' through!,¡Eh! ¡Viene una iniciada!
Huh? You a real Made Man?,"¿Eh? ¿Eres real, iniciada?"
"You messin' with me, mafia tool? I'm a Jet-pumped powerhouse! I'll kick your ASS!","¿Intentas tocarme las narices, matona de la mafia? ¡Soy un poderoso chorro de Jet! ¡Te patearé el CULO!"
"Man, don't look now, but you got this brain in a box following you.","Amiga, no mires ahora, pero te sigue un cerebro en una caja."
"Man, don't look now, but you got this tribal following you.","Amiga, no mires ahora, pero un tribal te está siguiendo."
Nevermind. Sorry to bother you.,No importa. Lamento haberte molestado.
"Naw...we don't hire muscle like the other families, 'least not now. ","Nah... no contratamos a matones, como sí hacen las otras Familias; al menos por ahora. "
"Why, if it isn't Reno's most famous prizefighter!","¡Vaya, pero si es la más famosa luchadora de Reno!"
"Well, pardon me for coming on strong, but I'd like to get to know YOU better. What time do you get off?
 Uh, work, I mean.","Bien, perdóname por ser tan directa, pero me gustaría conocerte mejor. ¿A qué hora te pones...
 eh, en marcha, quiero decir, eh, sales?"
"I'd like my partner to dress up in a Vault jumpsuit, call me the ""Vault Dweller,"" and I've got to find
 their ""Vault Sex-Teen.""","Me gustaría que mi pareja se vistiera con un uniforme de Refugio, me llamase ""Moradora del Refugio"", y yo tendría que encontrar
 su ""Refugio""."
"I'd like to be ""captured"" by some ravishing she-mutant, then be forced to take a dip in her mutating ""vat.""","Me gustaría ser ""capturada"" por una deslumbrante mutante, y forzada a sumergirme profundamente en su ""depósito"" mutante."
"I'd like to be ""captured"" by a sarcastic mutant lieutenant, interrogated roughly, then dunked
 in his mutating vats.","Me gustaría ser ""capturada"" por un sarcástico teniente mutante, interrogada con dureza, y arrojada
 en sus cubas de mutación."
Not a problem. Goodbye.,No hay de qué. Adiós.
"And that's the bravest thing you're EVER gonna hear about, cause I'm the BADDEST bitch
 in the wastes."," es lo más valiente que habrás oído jamás, porque soy la MAYOR zorra
 del Yermo."
"I LOVE that about you. (Makes sweeping gesture at Cat's Paw.) You are always welcome here, free of charge.","TODA tú me encanta. (Hace un ademán hacia La Garra de la Gata). Siempre serás bienvenida aquí, y sin coste alguno."
I am a simple traveler.,Soy una simple viajera.
"I'm a traveler, looking for Vault 13. Have you heard of it?","Soy una viajera, en busca del Refugio 13. ¿Has oído hablar de él?"
"(Frowns.) A simple traveler. How remarkably open and trusting of you. And what, pray
 tell, do you think I can do for you, ""simple traveler?""","(Frunce el ceño). Una simple viajera. Qué explícita y digna de confianza. ¿Y qué, por
 amor de Dios, crees que puedo hacer por ti, ""simple viajera""?"
Can you tell me about Vault City?,¿Puede hablarme de Ciudad Refugio?
Can I ask you some other questions?,¿Puedo hacerle más preguntas?
"I'm sorry, Mrs. Bishop, but I'm married.","Lo siento, señora Bishop, pero estoy casada."
"So? So am I. What are you suggesting that my invitation is? Some sort of prelude
 to adultery? Come now, don't be foolish. Now, are you coming?","¿Y? Yo también. ¿Qué sugieres que esconde mi invitación? ¿Una especie de preludio
 al adulterio? Vamos, no seas ridícula. ¿Entonces vienes?"
I see. I had some other questions...,Ya veo. Tengo más preguntas...
"(She smirks.) Well, aren't *you* a sharp one...","(Sonríe satisfecha). Bueno, no *eres* muy aguda..."
"You certainly do ask a lot of dangerous questions about my husband's business.
 I'd be *very* careful if I were you.","Realmente haces un montón de preguntas peligrosas sobre los negocios de mi marido.
 En tu lugar, yo sería *muy* cuidadosa."
Intruder! Help!,¡Una intrusa! ¡Ayuda!
Intruder! Guards! Guards!,¡Una intrusa! ¡Guardias! ¡Guardias!
Nuh-uh,No no.
"(She takes a big breath of air, then she starts yelling so loud it hurts your ears!
 Something about 'gards' and 'theef' which you can't make out because she's yelling so loudly.)","(Toma una gran bocanada de aire, ¡y empieza a gritar tan fuerte que te daña los oídos!
 Algo sobre 'guadas' y 'ladona' que eres incapaz de entender por gritar tan fuerte)."
Whatz wrong with yor teef? What you need gardz for?,¿Qué pasa con tus ladonas? ¿Para que necesitas guadas?
"All things considered, I'm probably safer with the guards. Goodbye.","Considerándolo bien, es posible que esté más segura con los guardias. Adiós."
Guards! An intruder! Thief! Guards! Intruder in the penthouse!,¡Guardias! ¡Una intrusa! ¡Ladrona! ¡Guardias! ¡Hay una intrusa en el ático!
"Yes, I understand.","Sí, lo entiendo."
"(Your question is met with silence... Mrs. Bishop has fallen asleep. You can't
 help but wonder if she would've stayed awake longer if you'd been more... skilled,
 but you quickly repress the thought before it hurts your ego.)","(Tu pregunta no encuentra respuesta... la señora Bishop se ha quedado dormida. Sólo puedes
 preguntarte si habría permanecido más tiempo despierta de haber sido más... experimentada,
 pero rápidamente reprimes ese pensamiento, antes de que hiera tu orgullo)."
::Gives you thumbs up sign::,::Te muestra el pulgar hacia arriba::
How do you take a piss with that thing on?,¿Cómo meas con esa cosa encima?
"Sheee-it, it's hot.","Jooooder, qué calor."
Yo! Cabron! You looking for th' Angel o' Death? Beat it!,¡Tú! ¡Puta! ¿Buscas al ángel de la muerte? ¡Desaparece!
You ,"Tú, "
Yo! Puta! You looking for th' Angel o' Death? Beat it!,Tú! ¡Puta! ¿Buscas al ángel de la muerte? ¡Desaparece!
"Yo! Homes, put that thing away 'fore you start making people nervous.","¡Tú! Hombre, guarda esa cosa antes de que la gente se empiece a poner nerviosa."
"Yo! Chica, you can't be carrying that around in here.","¡Tú! Chica, no puedes llevar eso aquí."
"Yo! Chica, put that thing away 'fore you start making people nervous.","¡Tú! Chica, guarda esa cosa antes de que la gente se empiece a poner nerviosa."
"What the hell you sneaking around for, ","¿Por qué demonios andas a hurtadillas, "
"What you sneaking around for, chica? With that right hook you got, you should walk tall.","¿Por qué andas a hurtadillas, chica? Con el gancho de derecha que tienes, deberías caminar erguida."
"Last fight was something out of an epic, hombre.","Tu última pelea fue algo más que épica, hombre."
"Y'know, the Mordinos could use some muscle like you, ","¿Sabes? Los Mordino podrían contratar a un tipo fuerte como tú, "
"Saw you fight in the ring, ","Te vi pelear en el cuadrilátero, "
"How much you bench, ","¿Cuántas flexiones haces, "
"Where you from, you fight like that? You're good. I mean, GOOD.","¿De dónde eres, peleando así? Eres buena. Y quiero decir BUENA."
"Where you learn to fight, chica? You're vicious. You got the MOVES.","¿Dónde aprendiste a pelear, chica? Eres implacable. Sabes MOVERTE."
"Where you work out, eh? Need a spotter?","¿Dónde entrenas, eh? ¿Necesitas un sparring?"
"Hey, hey, hey! Chica, you need to me to put that weapon away for you?","¡Hey, hey, hey! Chica, ¿necesitas que yo te quite ese arma?"
"Give a good word to the brothers for me, allright?","Habla bien de mí a los Hermanos, ¿de acuerdo?"
"Need some chems? Hootch? Some chips? I can set you up. I'm co-nnected, see?","¿Necesitas algunas drogas? ¿Licor? ¿Algunas fichas? Puedo surtirte. Tengo contactos, ¿sabes?"
"So how about you and me doing a film? I'll treat you right, chica. I show you what a Latin lover can do.","Entonces, ¿cuándo vamos a hacer tú y yo una película? Te trataré bien, chica. Te demostraré lo que puede hacer un latin lover."
"Don't be showing iron around here, friend. Put that away.","No vayas mostrando las armas aquí, amiga. Guárdala."
"Don't be sneakin' around, slaver, all right? You're among friends.","No andes a hurtadillas por aquí, esclavista, ¿de acuerdo? Estás entre amigos."
Yo! You dumb or something? Put that thing away before I haveta hurt you.,¡Tú! ¿Eres tonta o algo parecido? Guarda eso antes de que te haga daño.
You lookin' for a backalley lobotomy? Put that thing away.,¿Buscas una lobotomía frontal? Guarda eso.
"Yo, chica! You dumb or something? Put that thing away before I haveta hurt you.","¡Tú, chica! ¿Eres tonta o algo parecido? Guarda eso antes de que te haga daño."
What the hell you sneaking around for? You looking to get shot?,¿Por qué demonios andas a hurtadillas? ¿Quieres que te disparen?
"What you sneaking around for, chica? You looking to get shot?","¿Por qué demonios andas a hurtadillas, chica? ¿Quieres que te disparen?"
